title,imdb_id,keywords
SS Experiment Love Camp,tt0074768,perversity
SS Experiment Love Camp,tt0074768,nazisploitation (nazi exploitation film)
SS Experiment Love Camp,tt0074768,testicles
SS Experiment Love Camp,tt0074768,electrical torture
SS Experiment Love Camp,tt0074768,video nasty
SS Experiment Love Camp,tt0074768,erotic movie
Ilsa: She Wolf of the SS,tt0071650,experiment
Ilsa: She Wolf of the SS,tt0071650,prisoner of war
Ilsa: She Wolf of the SS,tt0071650,sadism
Ilsa: She Wolf of the SS,tt0071650,necrophilia
Ilsa: She Wolf of the SS,tt0071650,sexploitation
Ilsa: She Wolf of the SS,tt0071650,nazisploitation (nazi exploitation film)
Ilsa: She Wolf of the SS,tt0071650,ilse koch
"Yor, the Hunter from the Future",tt0084935,monster
"Yor, the Hunter from the Future",tt0084935,magic
"Yor, the Hunter from the Future",tt0084935,future
"Yor, the Hunter from the Future",tt0084935,based on comic
"Yor, the Hunter from the Future",tt0084935,dinosaur
"Yor, the Hunter from the Future",tt0084935,barbarian
"Yor, the Hunter from the Future",tt0084935,sword and sorcery
"Yor, the Hunter from the Future",tt0084935,caveman
Captain America,tt0103923,"washington dc, usa"
Captain America,tt0103923,martial arts
Captain America,tt0103923,captain
Captain America,tt0103923,wretch
Captain America,tt0103923,superhero
Captain America,tt0103923,based on comic
Captain America,tt0103923,terrorism
Captain America,tt0103923,super villain
Stone Cold,tt0102984,undercover
Stone Cold,tt0102984,fbi
Stone Cold,tt0102984,biker
Stone Cold,tt0102984,cop
Stone Cold,tt0102984,motorcycle gang
Programmed to Kill,tt0093790,cyborg
Programmed to Kill,tt0093790,dystopia
Killer Workout,tt0091339,shower
Killer Workout,tt0091339,stalker
Killer Workout,tt0091339,murder
Killer Workout,tt0091339,serial killer
Killer Workout,tt0091339,gym
Killer Workout,tt0091339,workout
Killer Workout,tt0091339,tanning salon
The Russian Ninja,tt0100531,kidnapping
The Russian Ninja,tt0100531,ninja
New Year's Evil,tt0082806,new year's eve
New Year's Evil,tt0082806,nightclub
New Year's Evil,tt0082806,psychopath
New Year's Evil,tt0082806,murder
New Year's Evil,tt0082806,serial killer
New Year's Evil,tt0082806,maniac
The Star Wars Holiday Special,tt0193524,holiday
The Star Wars Holiday Special,tt0193524,talk show
The Star Wars Holiday Special,tt0193524,musical
The Star Wars Holiday Special,tt0193524,space
The Star Wars Holiday Special,tt0193524,drunk
The Star Wars Holiday Special,tt0193524,space opera
