title,imdb_id,production_companies
Bloodsport,tt0092675,Cannon Group
"No Retreat, No Surrender",tt0089695,New World Pictures
"No Retreat, No Surrender",tt0089695,Seasonal Film Corporation
Miami Connection,tt0092549,Drafthouse Films
Robowar,tt0096000,Flora Film
Frankenhooker,tt0099611,Levins-Henenlotter
Frankenhooker,tt0099611,Shapiro-Glickenhaus Entertainment
Ninja Terminator,tt0199849,IFD Films & Arts Company
Never Too Young to Die,tt0091621,Charter Entertainment
Dr. Caligari,tt0097228,Steiner
Yeti: The Giant of the 20th Century,tt0076937,Stefano Film
Lambada,tt0099969,Warner Bros. Pictures
Lambada,tt0099969,Cannon Group
Lambada,tt0099969,Film and Television Corporation
